state,city,date,aqi,pm2.5,pm10,no2,so2,o3
Delhi,New Delhi,02-01-2015,231,273.52,42.48,179.12,66.03,188.79
Delhi,New Delhi,07-01-2015,337,285.68,165.14,94.14,4.89,13.75
Delhi,New Delhi,11-01-2015,221,172.27,100.36,47.35,1.06,86.43
Delhi,New Delhi,18-01-2015,218,149.78,346.05,30.35,97.46,59
Delhi,New Delhi,20-01-2015,301,155.13,389.7,19.27,15.85,168.83
Delhi,New Delhi,21-01-2015,417,258.58,178.07,176.73,12.29,189.7
Delhi,New Delhi,23-01-2015,281,69.7,131.965,147.945,41.195,49.83
Delhi,New Delhi,29-01-2015,144,143.08,297.54,115.47,41.37,81.92
Delhi,New Delhi,31-01-2015,236.5,100.45,218.395,120.925,24.44,102.035
Delhi,New Delhi,01-02-2015,102,188.45,371.75,90.87,86.49,194.82
Delhi,New Delhi,02-02-2015,391,236.55,78.73,35.48,24.62,119.71
Delhi,New Delhi,04-02-2015,269,107.21,14.2,82.15,44.94,134.69
Delhi,New Delhi,08-02-2015,253,126.33,114.3,144.96,51.46,59.49
Delhi,New Delhi,13-02-2015,62,246.92,134.38,187.95,42.37,107.3
Delhi,New Delhi,16-02-2015,90,231.86,48.11,32.95,90.45,21.39
Delhi,New Delhi,17-02-2015,136,186.6,107.505,96.71,42.115,108.295
Delhi,New Delhi,20-02-2015,139,115.73,385.03,55.62,49.64,27.88
Delhi,New Delhi,24-02-2015,446,210.39,348.52,98.08,37.71,44.89
Delhi,New Delhi,25-02-2015,281,296.95,130.37,152.85,8.38,58.14
Delhi,New Delhi,26-02-2015,341,249.34,160.97,16.36,87.48,154.84
Delhi,New Delhi,27-02-2015,385,225.56,245.85,137.37,62.67,183.42
Delhi,New Delhi,04-03-2015,286,199.105,329.94,92.22,36.965,73.96
Delhi,New Delhi,08-03-2015,169,251.25,184.54,89.55,94.02,20.13
Delhi,New Delhi,10-03-2015,257.5,87.035,217.585,114.8,58.845,110.71
Delhi,New Delhi,17-03-2015,105,260.25,337.05,0.02,82.1,36.21
Delhi,New Delhi,20-03-2015,475,62.36,102.71,33.5,93.7,35.51
Delhi,New Delhi,27-03-2015,38,31.9,339.33,172.67,50.35,75.14
Delhi,New Delhi,29-03-2015,107,152.16,251.82,115.11,13.5,164.96
Delhi,New Delhi,30-03-2015,470,261.47,275.96,88.73,26.42,0.08
Delhi,New Delhi,31-03-2015,158,104.48,378.3,97.67,43.02,158.22
Delhi,New Delhi,04-04-2015,486,123.77,364.68,66.78,9.95,145.46
Delhi,New Delhi,06-04-2015,134,112.12,235.54,63.03,6.24,193.99
Delhi,New Delhi,08-04-2015,133,113.02,315.2,160.815,64.015,104.2
Delhi,New Delhi,09-04-2015,161,44.65,301.74,138.62,26.86,96.32
Delhi,New Delhi,10-04-2015,108,65.7,4.25,197.4,51.7,110.42
Delhi,New Delhi,19-04-2015,428,256.95,153.65,37.72,55.57,80.45
Delhi,New Delhi,29-04-2015,298,101.64,297.88,95.74,53.15,197.18
Delhi,New Delhi,01-05-2015,409.5,209.655,77.24,151.435,74.78,137.675
